CHAMADO,ID DETENTORA,SITE,STATUS,VALIDADE,ENDEREÇO,CLUSTER,SUPERVISOR
427774,TCMGPRM0003,MGPRM02,Aguardando Aprovação,07/10/2026,R JOSE ALMEIDA MENDONCA SN,METROPOLITANO,Leandro de Menezes Assunção
427750,TCMGMRN0002,MGMRN03,Aguardando Aprovação,07/10/2026,RAIMUNDO GAMARANO- 1,METROPOLITANO,Arthur Santos de Oliveira
427726,TCMGFEL0001,MGFEL01,Aguardando Aprovação,07/10/2026,ROBERTO LUCIO AROEIRA SN,METROPOLITANO,Leandro de Menezes Assunção
427813,TCMGSJB0001,MGSJBR1,Aguardando Aprovação,07/10/2026,ROD ANAPINOPOLIS A FURNAS SN,SUL,Adriano Francisco de Paula
428031,TCMGSFE0001,MGSFE80,Aguardando Aprovação,17/10/2026,ROD BR 259 FAZENDA DO PRATA- SN,LESTE,Paulo De Freitas Pereira
427665,TCMGNLM0003,MGBAR19,Aguardando Aprovação,07/10/2026,ROD BR040- 538,BH,Renato Parreiras
427777,TCMGRCA0002,MGRCAR2,Aguardando Aprovação,07/10/2026,ROD BR262 1,METROPOLITANO,Arthur Santos de Oliveira
427702,TCMGBVM0001,MGBVMR1,Aguardando Aprovação,07/10/2026,ROD BR262 KM191 SN,METROPOLITANO,Arthur Santos de Oliveira
428046,TCMGUPG0001,MGUPGR1,Aguardando Aprovação,17/10/2026,ROD BR381 SN,LESTE,Paulo De Freitas Pereira
427658,TCMGJTB0002,MGSDHR1,Aguardando Aprovação,07/10/2026,ROD MG10 SN,BH,Rafael Porto Alves da Cruz
417113,TCMGPQT0001,MGPQT01,Liberado,22/09/2026,ROD MG158- SN,SUL,Adriano Francisco de Paula
427767,TCMGOPR0001,MGOPRR1,Aguardando Aprovação,07/10/2026,RODDOS INCONFIDENTES SN,METROPOLITANO,Arthur Santos de Oliveira
428083,TCMGMNH0007,MGMNHR5,Aguardando Aprovação,17/11/2026,RODOVIA BR  116 KM 586- SN,LESTE,Paulo De Freitas Pereira
428041,TCMGSRY0002,MGSRI80,Aguardando Aprovação,17/10/2026,RODOVIA BR  116- SN,LESTE,Paulo De Freitas Pereira
427780,TCMGSGR0002,MGSGRR1,Aguardando Aprovação,07/10/2026,RODOVIA BR  381   KM 371- SN,METROPOLITANO,Arthur Santos de Oliveira
417136,TCMGSSV0001,MGSSVR1,Liberado,22/09/2026,RODOVIA BR  381 FERNAO DIAS SN,SUL,Adriano Francisco de Paula
427763,TCMGNVU0002,MGNVUR1,Aguardando Aprovação,07/10/2026,RODOVIA BR  381- SN,METROPOLITANO,Arthur Santos de Oliveira
427781,TCMGSGR0003,MGSGRR2,Aguardando Aprovação,07/10/2026,RODOVIA BR  381- SN,METROPOLITANO,Arthur Santos de Oliveira
428048,TCMGYAU0001,MGYAU01,Aguardando Aprovação,17/10/2026,RODOVIA BR  458   CORREGO SANTO ESTEVAM SN,LESTE,Paulo De Freitas Pereira
417105,TCMGPGH0001,MGPGH01,Liberado,22/09/2026,RODOVIA BR  459- 7,SUL,Adriano Francisco de Paula
417165,TCMGEFZ0001,MGEFZ80,Liberado,22/09/2026,RODOVIA BR  482 SN,ZONA DA MATA,André Valério de Paiva
428082,TCMGMNH0006,MGMNHR4,Aguardando Aprovação,17/11/2026,RODOVIA BR  KM 116- SN,LESTE,Paulo De Freitas Pereira
417052,TCMGCOU0002,MGCHM80,Liberado,22/09/2026,RODOVIA BR  MG 173 KM 17- SN,SUL,Adriano Francisco de Paula
427985,TCMGPEM0001,MGPEM01,Aguardando Aprovação,17/11/2026,RODOVIA BR 135   RUMO NORDESTE SN,NORTE,Paulo De Freitas Pereira
428019,TCMGMNH0008,MGMNH07,Aguardando Aprovação,17/10/2026,RODOVIA BR 262 SN,LESTE,Paulo De Freitas Pereira
427776,TCMGRCA0001,MGRCAR1,Aguardando Aprovação,07/10/2026,RODOVIA BR 262 SN,METROPOLITANO,Arthur Santos de Oliveira
427952,TCMGURA0006,MGURA15,Aguardando Aprovação,18/10/2026,RODOVIA BR 262SN,OESTE,Arthur Gomes de Paulo
417037,TCMGCAM0003,MGCAMR1,Liberado,22/09/2026,RODOVIA BR 361 SN,SUL,Adriano Francisco de Paula
